model_date,timestamp,p,desc,key
2024-07-19,2024-07-19T17:34:34Z,0.82,Trump wins at least one state he didn't win in 2020,rep_newstate
2024-07-19,2024-07-19T17:34:34Z,0.49,Biden wins at least one state he didn't win in 2020,dem_newstate
2024-07-19,2024-07-19T17:34:34Z,0.57,Election is decided by a margin smaller than the share of the vote for third-party candidates,third_margin
2024-07-19,2024-07-19T17:34:34Z,0.06,Election is decided by a recount (winner's margin is <0.5% in all key states),recount
2024-07-19,2024-07-19T17:34:34Z,0,Every state votes for the same candidate as it did in 2020,states_same
2024-07-19,2024-07-19T17:34:34Z,0,No candidate wins a majority (270+) of Electoral College votes,no_winner
2024-07-19,2024-07-19T17:34:34Z,0,Trump wins the popular vote but loses the Electoral College,rep_poplose
2024-07-19,2024-07-19T17:34:34Z,0.13,Biden wins the popular vote but loses the Electoral College,dem_poplose
2024-07-19,2024-07-19T17:34:34Z,0.05,Trump wins the national popular vote by 10+ percentage points,rep_majority10
2024-07-19,2024-07-19T17:34:34Z,0.13,Biden wins the national popular vote by 10+ percentage points,dem_majority10
2024-07-19,2024-07-19T17:34:34Z,0.14,Trump wins a majority (50%+) of the national popular vote,rep_popmajority
2024-07-19,2024-07-19T17:34:34Z,0.3,Biden wins a majority (50%+) of the national popular vote,dem_popmajority
2024-07-19,2024-07-19T17:34:34Z,0.4,Trump wins the national popular vote,rep_popvote
2024-07-19,2024-07-19T17:34:34Z,0.6,Biden wins the national popular vote,dem_popvote
2024-07-19,2024-07-19T17:34:34Z,0.36,Trump wins Electoral College with <350 EVs,rep_slim
2024-07-19,2024-07-19T17:34:34Z,0.14,Trump wins an Electoral College landslide (>350 EVs),rep_landslide
2024-07-19,2024-07-19T17:34:34Z,0.26,Biden wins Electoral College with <350 electoral votes (EVs),dem_slim
2024-07-19,2024-07-19T17:34:34Z,0.21,Biden wins an Electoral College landslide (>350 electoral votes),dem_landslide
