model_date,timestamp,state_abb,vpi,p_tipping_point
2024-07-19,2024-07-19T17:34:34Z,WY,0,0
2024-07-19,2024-07-19T17:34:34Z,WV,0,0
2024-07-19,2024-07-19T17:34:34Z,VT,0,0
2024-07-19,2024-07-19T17:34:34Z,TN,0.4,0
2024-07-19,2024-07-19T17:34:34Z,SD,1.3,0
2024-07-19,2024-07-19T17:34:34Z,RI,9.1,0
2024-07-19,2024-07-19T17:34:34Z,OK,0.2,0
2024-07-19,2024-07-19T17:34:34Z,ND,0.2,0
2024-07-19,2024-07-19T17:34:34Z,NE-03,0,0
2024-07-19,2024-07-19T17:34:34Z,NE-01,3,0
2024-07-19,2024-07-19T17:34:34Z,NE,1,0
2024-07-19,2024-07-19T17:34:34Z,MT,7.8,0
2024-07-19,2024-07-19T17:34:34Z,MS,3.9,0
2024-07-19,2024-07-19T17:34:34Z,MA,0.1,0
2024-07-19,2024-07-19T17:34:34Z,MD,0.1,0
2024-07-19,2024-07-19T17:34:34Z,ME-01,0.8,0
2024-07-19,2024-07-19T17:34:34Z,LA,2.2,0
2024-07-19,2024-07-19T17:34:34Z,KY,0.3,0
2024-07-19,2024-07-19T17:34:34Z,ID,0.2,0
2024-07-19,2024-07-19T17:34:34Z,HI,1,0
2024-07-19,2024-07-19T17:34:34Z,DC,0,0
2024-07-19,2024-07-19T17:34:34Z,DE,7.3,0
2024-07-19,2024-07-19T17:34:34Z,CT,5,0
2024-07-19,2024-07-19T17:34:34Z,CA,0.6,0
2024-07-19,2024-07-19T17:34:34Z,AR,0.1,0
2024-07-19,2024-07-19T17:34:34Z,AL,0.3,0
2024-07-19,2024-07-19T17:34:34Z,WA,2.6,0.001
2024-07-19,2024-07-19T17:34:34Z,UT,0.4,0.001
2024-07-19,2024-07-19T17:34:34Z,OR,8.8,0.001
2024-07-19,2024-07-19T17:34:34Z,NY,2.4,0.001
2024-07-19,2024-07-19T17:34:34Z,KS,7,0.001
2024-07-19,2024-07-19T17:34:34Z,IN,3.3,0.001
2024-07-19,2024-07-19T17:34:34Z,ME-02,29.7,0.002
2024-07-19,2024-07-19T17:34:34Z,SC,11,0.003
2024-07-19,2024-07-19T17:34:34Z,IL,8.7,0.004
2024-07-19,2024-07-19T17:34:34Z,MO,4.1,0.005
2024-07-19,2024-07-19T17:34:34Z,ME,32.2,0.005
2024-07-19,2024-07-19T17:34:34Z,AK,30.3,0.005
2024-07-19,2024-07-19T17:34:34Z,NE-02,52.5,0.006
2024-07-19,2024-07-19T17:34:34Z,IA,15.6,0.006
2024-07-19,2024-07-19T17:34:34Z,NM,42,0.007
2024-07-19,2024-07-19T17:34:34Z,NJ,13.6,0.008
2024-07-19,2024-07-19T17:34:34Z,NH,79,0.015
2024-07-19,2024-07-19T17:34:34Z,CO,14.1,0.02
2024-07-19,2024-07-19T17:34:34Z,OH,26.9,0.028
2024-07-19,2024-07-19T17:34:34Z,NV,100,0.04
2024-07-19,2024-07-19T17:34:34Z,MN,45.3,0.04
2024-07-19,2024-07-19T17:34:34Z,VA,38.4,0.044
2024-07-19,2024-07-19T17:34:34Z,WI,76.9,0.064
2024-07-19,2024-07-19T17:34:34Z,AZ,68,0.064
2024-07-19,2024-07-19T17:34:34Z,MI,67.2,0.089
2024-07-19,2024-07-19T17:34:34Z,NC,58.2,0.092
2024-07-19,2024-07-19T17:34:34Z,TX,39,0.101
2024-07-19,2024-07-19T17:34:34Z,FL,35.1,0.102
2024-07-19,2024-07-19T17:34:34Z,GA,69.5,0.104
2024-07-19,2024-07-19T17:34:34Z,PA,69.3,0.139
